event,method,day,rolling_ll,z
SVB,mps_chi4,6,-65.1293939565223,0.2704989520946687
SVB,mps_chi4,7,-81.44779394075485,-0.9836184061880957
SVB,mps_chi4,8,-79.5683046841506,-0.8391740915683491
SVB,mps_chi4,9,-85.40642856294278,-1.2878511985931105
SVB,mps_chi4,10,-96.24245158289281,-2.1206316536133203
SVB,mps_chi4,11,-88.43629194787219,-1.520705171282643
SVB,mps_chi4,12,-86.71817845604713,-1.3886630620268583
SVB,mps_chi4,13,-75.13549950236958,-0.4984998876188854
SVB,mps_chi4,14,-74.95378444804359,-0.484534547627727
SVB,mps_chi4,15,-74.74048171135195,-0.46814160071426214
SVB,mps_chi8,0,-58.62556233801635,-0.6151822809621876
SVB,mps_chi8,1,-67.77758153415252,-1.3704678020083332
SVB,mps_chi8,2,-64.17764883309967,-1.073377401783466
SVB,mps_chi8,3,-72.75864957807657,-1.7815386807177873
SVB,mps_chi8,4,-63.22096679864216,-0.9944256345957638
SVB,mps_chi8,5,-67.55769144634742,-1.3523210088273407
SVB,mps_chi8,6,-57.14301169357465,-0.4928323369807339
SVB,mps_chi8,7,-72.59734267170947,-1.7682265614779964
SVB,mps_chi8,8,-72.59734267170947,-1.7682265614779964
SVB,mps_chi8,9,-82.13502545114389,-2.5553396076000205
SVB,mps_chi8,10,-93.20164943195928,-3.468631055142081
SVB,mps_chi8,11,-91.10759425925608,-3.2958156885744225
SVB,mps_chi8,12,-82.13872305111732,-2.5556447581534347
SVB,mps_chi8,13,-71.08579715674922,-1.6434837678512415
SVB,mps_chi8,14,-71.08579715674921,-1.6434837678512402
SVB,mps_chi8,15,-71.08579715674921,-1.6434837678512402
Q-NC-2,gaussian,0,13.921047187266897,-0.0811683898483129
Q-NC-2,gaussian,1,14.561733411493393,0.026539563430827355
Q-NC-2,gaussian,2,13.011259995825178,-0.2341158274618973
Q-NC-2,gaussian,3,11.256610195131211,-0.5290960090360634
Q-NC-2,gaussian,4,11.350142754293884,-0.5133719304911651
Q-NC-2,gaussian,5,11.61090264463308,-0.46953469312955937
Q-NC-2,gaussian,6,11.057163891860244,-0.5626256094896112
Q-NC-2,gaussian,7,9.770165315027281,-0.7789873437397918
Q-NC-2,gaussian,8,14.422505298955892,0.0031334490595737873
Q-NC-2,gaussian,9,14.5590293893444,0.026084981015478632
Q-NC-2,gaussian,10,14.621654899291299,0.0366131697674478
Q-NC-2,gaussian,11,15.6828454337209,0.2150135414011641
Q-NC-2,gaussian,12,18.13817600722848,0.6277875650903446
Q-NC-2,gaussian,13,15.350221189100054,0.15909494155553044
Q-NC-2,gaussian,14,16.25035377368561,0.31041931017703916
Q-NC-2,gaussian,15,16.184780190471358,0.29939551074118664
Q-NC-2,t,0,14.059843002498868,-0.13408596134428513
Q-NC-2,t,1,14.690529042254006,-0.03083376462293598
Q-NC-2,t,2,12.850530020785905,-0.3320675464987403
Q-NC-2,t,3,10.624175587207128,-0.696553156544227
Q-NC-2,t,4,11.065613399438032,-0.6242835628706406
Q-NC-2,t,5,11.455414014081384,-0.5604677064726072
Q-NC-2,t,6,10.977851075094115,-0.6386514927227094
Q-NC-2,t,7,9.520573838641136,-0.8772283224147148
Q-NC-2,t,8,14.946090212047231,0.011005202017379895
Q-NC-2,t,9,14.650765556731612,-0.03734360782650333
Q-NC-2,t,10,15.843074833485085,0.15785423109163027
Q-NC-2,t,11,16.703400373804335,0.2987016517320686
Q-NC-2,t,12,19.776321789349367,0.8017822124343277
Q-NC-2,t,13,16.936106730571748,0.33679896325110253
Q-NC-2,t,14,18.425655063547396,0.5806590264325727
Q-NC-2,t,15,17.500259243911863,0.4291586836451871
Q-NC-2,mps_chi2,0,-79.51923744262979,0.06899819202982607
Q-NC-2,mps_chi2,1,-79.51923744262979,0.06899819202982607
Q-NC-2,mps_chi2,2,-89.30503890271996,-0.44553599348285433
Q-NC-2,mps_chi2,3,-103.61632918473205,-1.1980188758427812
Q-NC-2,mps_chi2,4,-103.61632918473205,-1.1980188758427812
Q-NC-2,mps_chi2,5,-103.61632918473205,-1.1980188758427812
Q-NC-2,mps_chi2,6,-103.61632918473205,-1.1980188758427812
Q-NC-2,mps_chi2,7,-103.61632918473205,-1.1980188758427812
Q-NC-2,mps_chi2,8,-86.9408152486022,-0.3212259002112419
Q-NC-2,mps_chi2,9,-86.9408152486022,-0.3212259002112419
Q-NC-2,mps_chi2,10,-82.87781658000989,-0.10759478177814953
Q-NC-2,mps_chi2,11,-76.17644986746919,0.24476085074938267
Q-NC-2,mps_chi2,12,-76.17644986746919,0.24476085074938267
Q-NC-2,mps_chi2,13,-92.85196380359903,-0.6320321248821567
Q-NC-2,mps_chi2,14,-92.40252718337635,-0.608400896896491
Q-NC-2,mps_chi2,15,-89.05085821259982,-0.43217125734985595
Q-NC-2,mps_chi4,0,-75.35048430179734,0.2763394627892839
Q-NC-2,mps_chi4,1,-81.36343802455032,-0.04456058016190421
Q-NC-2,mps_chi4,2,-94.84450555194803,-0.7640198256571672
Q-NC-2,mps_chi4,3,-103.61632918473205,-1.2321555722984816
Q-NC-2,mps_chi4,4,-100.53429111930862,-1.0676729913284824
Q-NC-2,mps_chi4,5,-100.53429111930862,-1.0676729913284824
Q-NC-2,mps_chi4,6,-100.53429111930862,-1.0676729913284824
Q-NC-2,mps_chi4,7,-100.53429111930862,-1.0676729913284824
Q-NC-2,mps_chi4,8,-86.39653743744918,-0.31316763956188487
Q-NC-2,mps_chi4,9,-89.47857550287262,-0.47765022053188416
Q-NC-2,mps_chi4,10,-89.47857550287262,-0.47765022053188416
Q-NC-2,mps_chi4,11,-89.47857550287262,-0.47765022053188416
Q-NC-2,mps_chi4,12,-89.47857550287262,-0.47765022053188416
Q-NC-2,mps_chi4,13,-103.61632918473205,-1.2321555722984816
Q-NC-2,mps_chi4,14,-103.61632918473205,-1.2321555722984816
Q-NC-2,mps_chi4,15,-93.08509296546104,-0.670123281528429
Q-NC-2,mps_chi8,0,-80.16963338710936,-0.5912086672868905
Q-NC-2,mps_chi8,1,-91.54739387379482,-1.2124702768762667
Q-NC-2,mps_chi8,2,-103.61632918473205,-1.8714722119299385
Q-NC-2,mps_chi8,3,-103.61632918473205,-1.8714722119299385
Q-NC-2,mps_chi8,4,-100.11391451735113,-1.6802293239949342
Q-NC-2,mps_chi8,5,-100.11391451735113,-1.6802293239949342
Q-NC-2,mps_chi8,6,-100.11391451735113,-1.6802293239949342
Q-NC-2,mps_chi8,7,-100.11391451735113,-1.6802293239949342
Q-NC-2,mps_chi8,8,-100.11391451735113,-1.6802293239949342
Q-NC-2,mps_chi8,9,-103.61632918473205,-1.8714722119299385
Q-NC-2,mps_chi8,10,-103.61632918473205,-1.8714722119299385
Q-NC-2,mps_chi8,11,-103.61632918473205,-1.8714722119299385
Q-NC-2,mps_chi8,12,-89.68471806108246,-1.110762302367305
Q-NC-2,mps_chi8,13,-89.68471806108246,-1.110762302367305
Q-NC-2,mps_chi8,14,-81.73997944883817,-0.6769545153440408
Q-NC-2,mps_chi8,15,-71.24341151996946,-0.10380879881358886
Q-NC-3,gaussian,0,11.304612579240505,-1.1310900660467755
Q-NC-3,gaussian,1,11.867062453434745,-1.0346266180806858
Q-NC-3,gaussian,2,11.300988995287309,-1.1317115319198379
Q-NC-3,gaussian,3,28.10911143768797,1.7509799202792404
Q-NC-3,gaussian,4,28.78095340962764,1.8662047537712574
Q-NC-3,gaussian,5,29.43232411572934,1.977918645261928
Q-NC-3,gaussian,6,32.32963761956201,2.4748248821400125
Q-NC-3,gaussian,7,28.387712720404362,1.7987616721679738
Q-NC-3,gaussian,8,14.961912338249657,-0.5038417347977309
Q-NC-3,gaussian,9,15.622441647966994,-0.3905570891405943
Q-NC-3,gaussian,10,14.992256008340643,-0.4986376176395303
Q-NC-3,gaussian,11,15.579878018987971,-0.3978570008263208
Q-NC-3,gaussian,12,16.35899739516816,-0.26423346413125354
Q-NC-3,gaussian,13,16.890363934050928,-0.17310099024125572
Q-NC-3,gaussian,14,20.051147550802657,0.36899191427471795
Q-NC-3,gaussian,15,18.042142708114206,0.024435816037645018
Q-NC-3,t,0,11.472135241198206,-1.0862240100590772
Q-NC-3,t,1,11.827553946563246,-1.0274527448632904
